depto,nombre,telefono,lat,lon
Ahuachapan,Complejo Deportivo Germany,-,13.956527196614045,-89.84949588957531
La Libertad,SWIM AMERICA EL SALVADOR,2312-8251,13.656849440631005,-89.26716534102958
La Libertad,Polideportivo Ciudad Merliot,2278-8316,13.692958678404837,-89.26135389062992
San Miguel,INJUVE,2660-3724,13.494303187482865,-88.17618209490763
