nombre_club,dpto,lat,lon
Estadio José Gregorio Matrtínez,CHALATENANGO,14.054602549110278,-88.96900869130603
Estadio Jiboa,SAN VICENTE,13.662435180891006,-88.7864249263919
Cancha El Tablón,SAN VICENTE,13.671669421134963,-88.87139235321844
Cancha El Carmen,SAN VICENTE,13.673556012376196,-88.88013518642182
Polideportivo Las Marias,LA UNION,13.627326501728405,-87.97325196316298
Cancha Club Deportivo Rayos de Plata,LA UNION,13.571857627473934,-88.02291661622121
Club Deportivo Femenino,LA UNION,13.36171078436565,-87.893869029577
Cancha de Beisbol,LA UNION,13.344552055229956,-87.85155917653462
